Sigla	Nome	Estrato
ESTIMedia	IEEE Workshop on Embedded Systems for Real-Time Multimedia	B3
ESWC	European Semantic Web Conference	A1
ETCS	IEEE International Workshop on Education Technology and Computer Science	B4
ETELEMED	International Conference on eHealth, Telemedicine, and Social Medicine	B4
ETFA	IEEE International Conference on Emerging Technologies and Factory Automation	B1
ETHICOMP	International Conference on the Social and Ethical Impacts of Information and Communication Technologies	B4
ETRA	Eye Tracking Research and Applications	B5
ETS	IEEE European Test Symposium	B2
EUC	IFIP International Conference on Embedded and Ubiquitous Computing	B2
EUMAS	European Workshop on Multi-Agent Systems	B3
EURO	European Conference on Operational Research	B4
Euro-Par	European Conference on Parallel Computing	A2
Euro-Plop	European Conference on Pattern Languages of Programs	B2
EuroBot	European Workshop on Advanced Mobile Robots	B3
EUROCAST	International Workshop on Computer Aided Systems Theory	B3
EuroCG	European Workshop on Computational Geometry	B4
EUROCOMB	European Conference on Combinatorics Graph Theory and Applications	B5
EUROCON	The International Conference on "Computer as a Tool"	B3
EuroCrypt	International Conference on the Theory and Application of Cryptographic Techniques	A1
EuroGP	European Conference on Genetic Programming	B1
EUROGRAPHICS	Eurographics Annual Conference of the European Association for Computer Graphics	A2
EuroIMSA	IASTED International Conference on Internet and Multimedia Systems and Applications	B4
EuroITV	European Interactive TV Conference	B3
EuroMPI	European MPI Users Group Conference	B1
EUROPKI	European Public Key Infrastructure Workshop	B2
EUROPT	Workshop on Advances in Continuous Optimization	B5
EuroSPI	European Conference on Software Process Improvement	B2
EuroSys	European Conference on Computer Systems	A2
EuroVis	Eurographics/IEEE-VGTC Symposium on Visualization	B1
EUSIPCO	European Signal Processing Conference	B1
Evoapplications	European Conference on the Applications of Evolutionary Computation	B5
Evobio	European Conference on Evolutionary Computation, Machine Learning and Data Mining in Computational Biology	B3
EvoCOP	European Conference on Evolutionary Computation in Combinatorial Optimization	B2
EWME	European Workshop on Microelectronics Education	B4
EWSN	European conference on Wireless Sensor Networks	A2
FAABS	IEEE Workshop on Formal Approaches to Agent-Based Systems	B2
FASE	Fundamental Approaches to Software Engineering	A2
FAST	USENIX Conference on File and Storage Technologies	A1
FC	Financial Cryptography 	B1
FCCM	IEEE Symposium on Field-Programmable Custom Computing Machines	A2
FCS	International Conference on Foundations of Computer Science	B4
FCT	International Symposium on Fundamentals of Computation Theory	B2
FDG	Foundations of Digital Games	B3
FDL	Forum on Specification and Design Languages	B3
FDTC	Workshop on Fault Diagnosis and Tolerance in Cryptography	B2
FECS	International Conference on Frontiers in Education: Computer Science and Computer Engineering	B4
FedCSIS	Federated Conference on Computer Science and Information Systems	B5
FEF	The Finite Elements in Flow Problems Conference	B5
FG	International Conference on Automatic Face and Gesture Recognition	A1
FGCN	International Conference on Future Generation Communication and Networking	B3
FGIT	Future Generation Information Technology	B4
FIE	IEEE Frontiers in Education Conference	B1
FIND	Dynamic Taxonomies and Faceted Search	B5
FINTDI	Promotion and Innovation with New Technologies in Engineering Education	B5
FIT	Frontiers of Information Technology	B4
FLAIRS	Florida Artificial Inteligence Research Society	B1
FLINS	International FLINS Conference on Uncertainty Modeling in Knowledge Engineering and Decision Making	B4
FLOPS	International Symposium on Functional and Logic Programming	B1
FM	International Symposium on Formal Methods	B1
FMCAD	Formal Methods in Computer Aided Design	B1
FMICS	International Workshop on Formal Methods for Industrial Critical Systems	B4
FMN	Future Multimedia Networking	B4
FMOODS	International Conference on Formal Methods for Open Object-Based Distributed Systems	B1
FOAL	Foundations of Aspect-Oriented Languages Workshop	B2
FOCI	IEEE Symposium on Foundations of Computational Inteligence	B3
FOCS	IEEE Symposium on Foundations of Computer Science	A1
FOGA	Foundations of Genetic Algorithms	B3
FoIKS	International Symposium on Foundations on Information and Knowledge Systems	B2
FOIS	International Conference on Formal Ontology in Information Systems	B1
FOMI	Formal Ontologies Meet Industry	B4
FOOL	International Workshop on Foundations of Object-Oriented Languages	B3
FORMATS	International Conference on Formal Modeling and Analysis of Timed Systems	B1
FORTE	IFIP WG 6.1 International Conference on Formal Methods for Networked and Distributed Systems	B1
FOSSACS	Foundations of Software Science and Computation Structures Conference	A2
FPGA	ACM/SIGDA International Symposium on Field-Programmable Gate Arrays	A2
FPL	International Conference on Field-Programmable Logic and Applications	A2
FPSAC	International Conference on Formal Power Series and Algebraic Combinatorics	B4
FQAS	International Conference on Flexible Query Answering Systems	B2
FroCoS	International Symposium on Frontiers of Combining Systems	B3
FSE	Fast Software Encryption Workshop	A2
FSE_A	ACM SIGSOFT Conference on the Foundations of Software Engineering	A1
FSKD	International Conference on Fuzzy Systems and Knowledge Discovery	B2
FSR	International Symposium on Field and Service Robotics	B4
FSTTCS	IARCS Conference on Foundations of Software Technology and Theoretical Computer Science	B1
FTFC	IEEE Faible Tension Faible Consommation	B5
FTJP	Workshop on Formal Techniques for Java Programs	B4
FTP	International Workshops on First-Order Theorem Proving	B4
FTRTFT	Formal Techniques in Real-Time and Fault Tolerant Systems	B2
FUSION	International Conference on Information Fusion	B1
FUZZ	IEEE International Conference on Fuzzy Systems	A2
GADA	International Conference on Grid computing High-performance and Distributed Applications	B5
GAME-ON	European GAME-ON Conference	B3
GCA	International Conference on Grid Computing and Applications	B4
GCC	International Conference on Grid and Cooperative Computing	B2
GD	International Symposium on Graph Drawing	B2
GDC	Game Developers Conference	B1
GECCO	Genetic and Evolutionary Computation Conference	A1
GECON	Grid Economics and Business Models	B3
GEFS	International Workshop on Genetic and Evolving Fuzzy Systems	B4
GENSIPS	IEEE International Workshop on Genomic Signal Processing and Statistics	B4
GeoComp	International Conference on GeoComputation	B3
GeoInfo	Simpósio Brasileiro de Geoinformática	B3
GEOPROCESSING	International Conference on Advanced Geographic Information Systems, Applications, and Services	B4
GeoS	International Conference on Geospatial Semantics	B3
GI	Graphics Interface	A2
GIIS	IEEE International Global Information Infrastructure Symposium	B4
GIR	Workshop on Geographic Information Retrieval	B2
GIS	International Symposium on Advances in Geographic Information Systems	B1
GIScience	International Conference on Geographic Information Science	B1
Globe	Conference on Data Management in Grid and P2P Systems	B4
GLOBECOM	IEEE Global Telecommunications Conference	A1
GLSVLSI	ACM Great Lakes Symposium on VLSI	B1
GMP	Geometry Modeling and Processing Conference	B2
GOW	Global Optimization Workshop	B5
GPC	Advances in Grid and Pervasive Computing	B3
GPCE	International Conference on Generative Programming and Component Engineering	A2
GRAPP	International Conference on Computer Graphics Theory and Applications	B4
GREC	IAPR International Workshop on Graphics Recognition	B3
GREENCOM	Green Computing and Communications	B4
GREENCOM-CPSCOM	IEEE-ACM International Conference on Green Computing and Communications and International Conference on Cyber Physical and Social Computing	B4
GRID	IEEE/ACM International Conference on Grid Computing	A2
GROUP	International Conference on Supporting Group Work	A2
GSD	International Workshop on Global Software Development for the Practitioner	B3
GSDI	International Conference for Global Spatial Data Infrastructure	B4
GWC	International Global Wordnet Conference	B3
HAIS	International Conference on Hybrid Artificial Inteligence Systems	B4
HAPTICS	International Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems	B1
HASE	IEEE International Symposium on High Assurance Systems Engineering	B1
HASKELL	Haskel Workshop	B1
HC	Humans and Computers	B5
HCII	International Conference on Human-Computer Interaction	B2
HCS	IEEE Hot Chips Symposium	B4
HealthCom	International Workshop on Enterprise Networking and Computing in Health Care Industry	B4
HEALTHINF	International Conference on Health Informatics	B4
HIC	Health Informatics Conference	B4
HICSS	Annual Hawaii International Conference on System Sciences	A1
HIKM	Healthcare Information and Knowledge Management	B4
HiPC	International Conference on High Performance Computing	B1
HiPEAC	International Conference on High-Performance and Embedded Architectures and Compilers	B2
HIPS	International Workshop on High-Level Programming Models and Supportive Environments	B4
HIS	International Conference on Hybrid Inteligent Systems	B2
HLDVT	IEEE International High Level Design Validation and Test Workshop	B3
HLT	Human Language Technology Conference	A1
HM	International Workshop on Hybrid Metaheuristics	B3
HoloMAS	Holonic and Multi-Agent Systems for Manufacturing	B2
HOPL	History of Programming Languages Conference	B5
HOST	Hardware-Oriented Security and Trust HOST), IEEE International Workshop on	B3
Hot-P2P	International Workshop on Hot Topics in Peer-to-Peer Systems	B4
HOTI	IEEE Symposium on High-Performance Interconnects	B1
HotInterconnect	Symposium on High-Performance Interconnects	B2
HotMobile	Workshop on Mobile Computing Systems and Applications	B2
HOTNETS	Workshop on Hot Topics in Networks	B3
HotOS	USENIX Workshop on Hot Topics in Operating Systems	A2
HPCA	International Symposium on High-Performance Computer Architecture	A1
HPCN	International Conference on High Performance Computing and Networking	B3
HPCS	International Symposium on High Performance Computing Systems and Applications	B3
HPDC	IEEE International Symposium on High Performance Distributed Computing	A1
HRI	IEEE/ACM International Conference on Human Robot Interaction	A2
Humanoids	IEEE RAS International Conference on Humanoids Robots	B2
HVC	International Haifa Verification Conference	B4
Hypertext	ACM Conference on Hypertext and Hypermedia	A2
I	IADIS International Conference Informatics	B5
I&CPS	IEEE Industrial and Commercial Power Systems Technical Conference - Conference Record	B4
I-KNOW	International Conference on Knowledge Management and Knowledge Technologies	B5
I-SEMANTICS	International Conference on Semantic Systems	B3
I-SPAN	International Symposium on Parallel Architectures Algorithms and Networks	B1
I2TS	Information and Telecommunication Technologies	B4
I3D	ACM Symposium on Interactive 3D Graphics and Games	A2
I3E	IFIP Conference on e-Commerce e-Business and e-Government	B3
IAAI	Conference on Innovative Applications in Artificial Inteligence	B2
IAIM	Annual Conference of the International Academy for Information Management	B5
IAIT	International Conference on Advances in Information Technology	B5
IAS	IEEE Industry Applications Society Annual Conference	B1
IAT	ACM International Conference on Inteligent Agent Technology	B1
IAW	Annual IEEE Information Assurance Workshop	B1
IAWTIC	International Conference on Inteligent Agents Web Technologies and Internet Commerce	B4
IBERAMIA	Ibero-American Artificial Inteligence Conference	B2
IBERCHIP	Workshop Iberchip	B4
IBICA	International Conference on Innovations in Bio-inspired Computing and Applications	B5
IBIMA	International Business Information Management	B4
IC3K	International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management	B4
ICA3PP	International Conference on Algorithms and Architectures for Parallel Processing	B3
ICAART	International Conference on Agents and Artificial Inteligence	B4
ICAC	IEEE International Conference on Autonomic Computing	A2
ICAD	International Conference on Auditory Display	B1
ICAI	International Conference on Artificial Inteligence	B2
ICAIE	International Conference on Artificial Inteligence and Education	B5
ICAIL	International Conference on Artificial Inteligence and Law	B1
ICAIS	International Conference on Adaptive and Inteligent Systems	B3
ICAISC	International Conference on Artifical Inteligence and Soft Computing	B2
ICAL	IEEE International Conference on Automation and Logistics	B4
ICALIP	International Conference on Audio, Language and Image Processing	B4
ICALP	International Coloquium on Automata Languages and Programming	A1
ICALT	IEEE International Conference on Advanced Learning Technologies	B1
ICANN	International Conference on Artificial Neural Networks	B1
ICAPS	International Conference on Automated Planning and Scheduling	A2
ICAR	International Conference on Advanced Robotics	B2
ICARCV	International Conference on Control, Automation, Robotics and Vision	B1
ICAS	International Conference on Autonomic and Autonomous Systems	B2
ICASSP	International Conference on Acoustics, Speech, and Signal Processing	A1
ICAT	International Conference on Artificial Reality and Telexistence	B3
ICATPN	International Conference on the Application and Theory of Petri Nets	B1
ICB	International Conference on Biometrics	B2
ICBAKE	International Conference on Biometrics and Kansei Engineering	B4
ICBBE	International Conference on Bioinformatics and Biomedical Engineering	B4
ICC	IEEE International Conference on Communications	A2
ICCABS	IEEE International Conference on Computational Advances in Bio and Medical Sciences	B5
ICCAD	International Conference on Computer-Aided Design	A1
ICCAS	International Conference on Control Automation and Systems	B4
ICCBR	International Conference on Case-Based Reasoning	B4
ICCBSS	IEEE International Conference on COTS-Based Software Systems	B2
ICCC	International Conference on Computer Communication	B4
ICCCAS	International Conference on Communications, Circuits and Systems	B4
ICCCN	International Conference on Computer Communications and Networks	B1
ICCD	International Conference on Computer Design	A2
ICCDCS	International Caribbean Conference on Devices, Circuits and Systems	B4
ICCE	International Conference on Computers in Education	B2
ICCI	International Conference on Computing and Information	B4
ICCIIS	International Conference on Communications and Inteligence Information Security	B5
ICCIMA	International Conference on Computational Inteligence and Multimedia Applications	B2
ICCI_A	IEEE International Conference on Cognitive Informatics	B2
ICCL	IEEE International Conference on Computer Languages	B5
ICCMS	International Conference on Computer Modeling and Simulation	B4
ICCOPT	International Conference on Continuous Optimization	B5
ICCS	International Conference on Computational Science	A2
ICCSA	International Conference on Computational Science and its Applications	B1
ICCSE	International Conference on Computer Science & Education	B4
ICCST	Annual International Carnahan Conference on Security Technology	B4
ICCS_A	International Conference on Conceptual Structures	B1
ICCTA	International Conference on Computing: Theory and Applications	B3
ICCV	IEEE International Conference on Computer Vision	A1
ICDAR	IEEE International Conference on Document Analysis and Recognition	A2
ICDCIT	International Conference on Distributed Computing and Internet Technology	B4
ICDCN	IEEE International Conference on Distributed Computing and Networking	B4
ICDCS	IEEE International Conference on Distributed Computing Systems	A1
ICDE	IEEE International Conference on Data Engineering	A1
ICDE_A	World Conference on Open Learning and Distance Education	B5
ICDF	IFIP WG 11.9 International Conference on Digital Forensics	B5
ICDIM	International Conference on Digital Information Management	B3
ICDL	IEEE International Conference on Development and Learning	B3
ICDL-EpiRob	IEEE Conference on Development and Learning and Epigenetic Robotics	B2
ICDLE	International Conference on Distance Learning and Education	B5
ICDM	IEEE International Conference on Data Mining	A1
ICDS	International Conference on Digital Society	B3
ICDT	International Conference on Database Theory	B1
ICDVRAT	International Conference on Disability, Virtual Reality and Associated Technologies	B5
ICE-B	International Conference on e-Business	B4
ICEB	International Conference on Electronic Business	B4
ICEBE	IEEE International Conference on e-Business Engineering	B2
ICEC	International Conference on Electronic Commerce	B1
ICECCS	IEEE International Conference on Engineering of Complex Computer Systems	B1
ICECE	International Conference on Engineering and Computer Education	B4
ICECS	IEEE International Conference on Electronics: Circuits and Systems	B1
ICEC_A	IFIP International Conference on Entertainment Computing	B5
ICEE	International Conference on Engineering Education	B2
ICEIMT	International Confernce on Enterprise Integration and Modeling Technology	B4
ICEIS	International Conference on Enterprise Information Systems 	B1
ICEIT	International Conference on Educational and Information Technology	B5
ICELET	International Conference on E-Learning and E-Teaching	B5
ICEMT	International Conference on Education and Management Technology	B5
ICER	International Computing Education Research Workshop	B4
ICETC	International Conference on Education Technology and Computer	B4
ICETE	International Conference on E-Business and Telecommunication Networks	B4
ICFCA	International Conference on Formal Concept Analysis	B2
ICFCSE	International Conference on Future Computer Science and Education	B5
ICFEM	International Conference on Formal Engineering Methods	B1
ICFP	International Conference on Functional Programming	A2
ICGEC	International Conference on Genetic and Evolutionary Computing	B5
ICGeS	International Conference on Global E-Security	B5
ICGSE	IEEE International Conference on Global Software Engineering	B2
ICGT	International Conference on Graph Transformation	B1
ICHIT	International Conference on Hybrid Information Technology	B2
ICHL	International Conference on Hybrid Learning and Education	B4
ICIAM	International Congress on Industrial and Applied Mathematics	B4
ICIAP	International Conference on Image Analysis and Processing	B1
ICIAS	International Conference on Inteligent and Advanced Systems	B4
ICICA	International Conference on Information Computing and Applications	B5
ICICS	International Conference on Information and Communication Security	B1
ICIDS	International Conference on Interactive Digital Storyteling	B3
ICIG	International Conference on Image and Graphics	B3
ICINCO	International Conference on Informatics in Control Automation and Robotics	B4
ICIP	IEEE International Conference on Image Processing	A1
ICIQ	International Conference on Information Quality	B1
ICIRA	International Conference on Inteligent Robotics and Applications	B4
ICIS	International Conference on Information Systems	A2
ICISO	International Conference on Informatics and Semiotics in Organisations	B5
ICISS	International Conference on Information Systems Security	B3
ICIS_A	IEEE/ACIS International Conference on Computer and Information Science	B2
ICIT	IEEE International Conference on Industrial Technology	B3
ICITA	International Conference on Information Technology and Applications	B2
ICITS	International Conference on Inteligent Tutoring Systems	A2
ICIW	International Conference on Internet and Web Applications and Services	B3
ICL	International Conference on Interactive Colaborative Learning	B5
ICLP	International Conference on Logic Programming	B1
ICLS	International Conference of the Learning Sciences	B1
ICMA	International Conference on Manufacturing Automation	B5
ICMC	International Computer Music Conference	B1
ICMCS	IEEE International Conference on Multimedia Computing and Systems	B3
ICME	IEEE International Conference on Multimedia and Expo	A1
ICMI	International Conference on Multimodal Interfaces	A2
ICMIC	International Conference on Modeling, Identification and Control	B5
ICML	International Conference on Machine Learning	A1
ICMLA	International Conference on Machine Learning and Applications	B2
ICMLC	International Conference on Machine Learning and Cybernetics	B4
ICMPC	International Conference of Music Perception and Cognition	B4
ICMR	ACM International Conference on Multimedia Retrieval	A2
ICMSAO	International Conferecen on Modeling, Simulation and Applied Optimization	B5
ICMT	International Conference on Model Transformation	B2
ICMTS	IEEE International Conference on Microelectronics Test Structures	B3
ICN	International Conference on Networking	B1
ICNC	International Conference on Natural Computation	B4
ICNCC	International Conference on Network Communication and Computer	B5
ICNP	IEEE International Conference on Network Protocols	A1
ICNS	International conference on Networking and Services	B3
ICNSC	IEEE Intl Networking, Sensing and Control	B3
ICoFCS	International Conference on Forensic Computer Science	B5
ICOIN	International Conference on Information Networking	B1
ICOMP	International Conference on Internet Computing	B2
ICON	IEEE International Conference on Networks	B3
ICONIP	International Conference on Neural Information Processing	B1
ICONS	International Conference on Systems	B3
ICORD	International Conference on Operational Research for Development	B5
ICORE	International Conference on Reputation	B4
ICOTA	International Conference on Optimization: Techniques And Applications	B5
ICPADS	International Conference on Parallel and Distributed Systems	B1
ICPC	IEEE International Conference on Program Comprehension	A2
ICPP	International Conference on Parallel Processing	A2
ICPR	International Conference on Pattern Recognition	A1
ICPS	IEEE/ACS International Conference on Pervasive Services	B2
ICRA	IEEE International Conference on Robotics and Automation	A1
ICS	ACM International Conference on Supercomputing	A2
ICSC	IEEE International Conference on Semantic Computing	B2
ICSC_A	International Computer Science Conference	B2
ICSE	ACM/IEEE International Conference on Software Engineering	A1
ICSEA	International Conference on Software Engineering Advances	B3
ICSM	IEEE International Conference on Software Maintenance	A2
ICSMA	International Conference on Smart Manufacturing Application	B4
ICSNC	International Conference on Systems and Networks Communication	B3
ICSOB	International Conference on Software Business	B5
ICSOC	International Conference on Service Oriented Computing	A2
ICSOFT	International Conference on Software and Data Technologies	B4
ICSP	International Conference on Stochastic Programming	B3
ICSR	IEEE International Conference on Software Reuse	B1
ICSSEA	International Conference on Software and Systems Engineering and their Applications	B4
ICSSP	International Conference on on Software and Systems Process	B5
ICST	International Conference on Software Testing, Verification and Validation	B2
ICSTW	IEEE International Conference on Software Testing Verification and Validation Workshop	B3
ICT	International Conference on Telecommunications	B2
ICTAC	International Coloquium on Theoretical Aspects of Computing	B3
ICTAI	IEEE International Conference on Tools with Artificial Inteligence	A2
ICTEL	International Conference on Technology-Enhanced Learning	B5
ICTERI	International Conference on ICT in Education, Research, and Industrial Applications	B5
ICTL	International Conferece on Temporal Logic	B5
ICTON	International Conference on Transparent Optical Networks	B4
ICTSS	IFIP International Conference on Testing Software and Systems	B1
ICUIMC	International Conference on Ubiquitous Information Management and Communication	B4
ICUMT	Ultra Modern Telecommunications	B4
ICVES	IEEE International Conference on Vehicular Electronics and Safety	B4
ICVS	International Conference on Computer Vision Systems	B1
ICVS_A	International Conference on Virtual Storyteling	B2
ICWE	International Conference on Web Engineering	B1
ICWET	International Conference & Workshop on Emerging Trends in Technology	B4
ICWI	International Conference WWW/Internet	B2
ICWL	International Conference on Web-based Learning	B3
ICWMC	International Conference on Wireless and Mobile Communications	B3
ICWN	International Conference on Wireless Networks	B2
ICWS	IEEE International Conference on Web Services	A1
ICWSM	AAAI International Conference on Weblogs and Social Media	B1
IDA	International Symposium on Inteligent Data Analysis	B2
IDAACS	Inteligent Data Acquisition and Advanced Computing Systems Technology and Applications	B4
IDC	International Conference on Interaction Design and Children	B2
IDC_A	IEEE Conference on Information Decision and Control	B4
IDEAL	International Conference on Inteligent Data Engineering and Automated Learning	B2
IDEAS_A	International Database Engineering and Applications Symposium	B1
IE	International Conference on Inteligent Environments	B4
IECON	Annual Conference of the IEEE Industrial Electronics Society	B1
IEEEIS	IEEE Conference On Inteligent Systems	B1
IEEEIT	IEEE Symposium on Information Theory	A1
IEEERFID	IEEE IEEE International Conference on RFID	B3
IESA	International Conference on Interoperability for Enterprise Software and Applications	B3
IESS	International Conference on Exploring Services Science	B4
IESS_A	International Embedded Systems Symposium	B5
IFAC	Triennial Event of International Federation of Automatic Control	B2
IFIPAI	IFIP Artificial Inteligence	B5
IFL	International Symposium on Implementation and Application of Functional Languages	B3
IFM	International Conference on Integrated Formal Methods	B1
IFSA	International Fuzzy Systems Association World Congress	B1
IGARSS	IEEE International Geoscience and Remote Sensing Symposium	B1
IGCC	International Green Computing Conference	B4
IGIC	IEEE International Games Innovation Conference	B5
IGIP	IGIP International Symposium on Engineering Education	B4
IH	Information Hiding Workshop	B1
IHC	Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais	B4
IHI	IHI ACM SIGHIT International Health Informatics Symposium	B4
IITSI	International Symposium on Inteligent Information Technology and Security Informatics	B4
IIWAS	Information Integration and Web-based Applications and Services	B3
IJCAI	International Joint Conference on Artificial Inteligence	A1
IJCAR	International Joint Conference on Automated Reasoning	B1
IJCBS	International Joint Conference on Bioinformatics, Systems Biology and Inteligent Computing	B4
IJCNLP	International Joint Conference on Natural Language Processing	B2
IJCNN	IEEE International Joint Conference on Neural Networks	A2
IKE	International Conference on Information and Knowledge Engineering	B4
ILP	International Conference on Inductive Logic Programming	B1
IM	IFIP/IEEE International Symposium on Integrated Network Management	B1
IMAGAPP/IVAPP	International Conference on Imaging Theory and Applications and International Conference on Information Visualization Theory and Applications	B5
IMC	ACM SIGCOMM Internet Measurement Conference	A1
IMCSIT	International Multiconference on Computer Science and Information Technology	B4
IMF	International Conference on IT Security Incident Management and IT Forensics	B4
IMR	International Meshing Roundtable Conference	B1
IMS	Advanced Information Management and Service	B4
IMSA	International Conference on Internet and Multimedia Systems and Applications	B4
IMS_A	IFAC Workshop on Inteligent Manufacturing Systems	B4
INA-OCMC	Interconnection Network Architectures: On-Chip, Multi-Chip	B5
INAP	Joint Conference on Application of Declarative Programming and Knowledge Management	B4
InCoB	International Conference on Bioinformatics	B5
INDIN	IEEE International Conference on Industrial Informatics	B3
INDOCRYPT	International Conference on Cryptology in India	B1
INEX	International Workshop of the Inititative for the Evaluation of XML Retrieval	B4
INFOCOM	Annual Joint Conference of the IEEE Computer and Communications Societies	A1
INFORMS	Joint International Meeting	B5
INLG	International Natural Language Generation Conference	B2
INOC	International Network Optimization Conference	B3
InSITE	Informing Science and IT Education Conference	B4
INTED	International Technology, Education and Development Conference	B4
INTERACT	IFIP TC13 International Conference on Human-Computer Interaction	B1
Interspeech	International Conference on Spoken Language Processing	A1
IOLTS	IEEE International On-Line Testing Symposium	B1
IPAW 	International Provenance and Annotation Workshop	B2
IPCCC	IEEE International Performance Computing and Communications Conference	B1
IPCO	Conference on Integer Programming and Combinatorial Optimization	B1
IPCV	International Conference on Image Processing Computer Vision and Pattern Recognition	B4
IPDPS	IEEE International Parallel and Distributed Processing Symposium	A1
IPDS	International Computer Performance and Dependability Symposium	B4
IPEC	International Symposium on Parameterized and Exact Computation	B2
IPMU	International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems	B2
IPOM	IEEE International Workshop on IP Operations and Management	B3
IPPS	International Parallel Processing Symposium	A1
IPSN	International Symposium on Information Processing in Sensor Networks	A1
IPT	Workshop on Immersive Projection Technology	B3
IPTPS	International Workshop on Peer-to-Peer Systems	A1
IQIS	Information Quality in Information Systems	B3
IR	Research and Development in Information Retrieval	B5
IRI	IEEE International Conference on Information Reuse and Integration	B2
IRMA	Information Resources Management Association International Conference	B4
IROS	IEEE/RJS International Conference on Inteligent Robots and Systems	A1
IS	IADIS International Conference Information Systems	B4
ISAAC	International Symposium on Algorithms and Computation	B1
ISADS	International Symposium on Autonomous Decentralized Systems	B1
ISAM	IEEE International Symposium on Assembly and Manufacturing	B3
ISBI	IEEE International Symposium on Biomedical Imaging: From Nano to Macro	B1
ISBRA	International Symposium on Bioinformatics Research and Applications	B3
ISC	Information Security Conference	A2
ISCA	ACM International Symposium on Computer Architecture	A1
ISCAS	IEEE International Symposium on Circuits and Systems	A1
ISCC	IEEE Symposium on Computers and Communications	A2
ISCIS	International Symposium on Computer and Information Sciences	B2
ISCO	International Symposium on Combinatorial Optimization	B5
ISCRAM	Inteligent Human Computer Systems for Crisis Response and Management	B4
ISC_A	International Supercomputing Conference	B5
ISD	International Conference on Information Systems Development	B4
ISDA	International Conference on Inteligent Systems Design and Applications	B2
ISDPE	International Symposium on Data, Privacy and E-commerce	B4
ISECON	Information Systems Education Conference	B4
ISECS	International Symposium Electronic Commerce and Security	B4
ISER	International Symposium on Experimental Robotics	B3
ISI	IEEE Inteligence and Security Informatics	B1
ISIC	IEEE International Symposium on Inteligent Control	B3
ISICA	International Symposium on Inteligence Computation and Applications	B4
ISIE	IEEE International Symposium on Industrial Electronics	B1
ISIMP	International Symposium on Inteligent Multimedia Video and Speech Processing	B2
ISIPTA	International Symposium on Imprecise Probabilities: Theories and Applications	B2
ISIT	IEEE International Symposium on Information Theory	B1
ISITA	IEEE International Symposium on Information Theory and Its Applications	B3
ISLPED	International Symposium on Low Power Electronics and Design	A1
ISM	IEEE International Symposium on Multimedia	B2
ISMAR	International Symposium on Mixed and Augmented Reality	A2
ISMB	Inteligent Systems in Molecular Biology	A1
ISMIR	International Conference on Music Information Retrieval	A1
ISMIS	International Syposium on Methodologies for Inteligent Systems	B2
ISMM	International Symposium on Mathematical Morphology	B1
ISMM_A	International Symposium on Memory Management	B1
ISMP	International Symposium on Mathematical Programming	B4
ISMVL	IEEE International Symposium on Multiple-Valued Logic	B2
ISoLA	International Symposium on Leveraging Applications of Formal Methods, Verification and Validation	B4
ISORC	IEEE International Symposium on Object-Oriented Real-Time Distributed Computing	B1
ISPA	International Symposium on Parallel and Distributed Processing and Applications	B3
ISPASS	IEEE International Symposium on Performance Analysis of Systems and Software	B1
ISPD	ACM International Symposium on Physical Design	A2
ISPDC	International Symposium on Parallel and Distributed Computing	B2
ISQED	IEEE International Symposium on Quality Electronic Design	B1
ISRA	International Symposium on Robotics and Automation	B1
ISRE	IEEE International Symposium on Requirements Engineering	B2
ISRR	International Symposium of Robotics Research	B4
ISSADS	IEEE International Symposium and School on Advance Distributed Systems	B4
ISSCC	IEEE International Solid-State Circuits Conference	B1
ISSCS	International Symposium on Signals Circuits and Systems	B3
ISSDQ	International Symposium on Spatial Data Quality	B4
ISSPA	IEEE International Symposium on Signal Processing and its Applications	B3
ISSRE	IEEE International Symposium on Software Reliability Engineering	A2
ISSTA	International Symposium on Software Testing and Analysis	A2
IST	IEEE International Workshop on Imaging Systems and Techniques	B4
ISTA	International Conference on Information Systems Technology and its Application	B3
ISVLSI	IEEE Computer Society Annual Symposium on VLSI	B1
ISWC	International Semantic Web Conference	A1
ISWC_A	IEEE International Symposium on Wearable Computing	A2
ISWPC	Wireless Pervasive Computing	B1
ISWSA	International Conference on Inteligent Semantic Web-Services and Applications	B5
ITAT	Conference on Theory and Practice of Information Technologies	B4
ITBAM	International Conference on Information Technology in Bio- and Medical Informatics	B5
ITC	International Test Conference	A1
ITEM	Conference on Information Technology in Educational Management	B4
ITHE	International Conference on Information Technology Based Higher	B4
ITHET	International Conference on Information Technology Based Higher Education and Training	B3
ITiCSE	Annual Conference on Integrating Technology into Computer Science Education	B1
ITNG	International Conference on Information Technology New Generations	B1
ITP	Interactive Theorem Proving continues TPHOL)	B4
ITRE	International Conference on Information Technology: Research and Education	B2
ITS	International Conference on Interactive Tabletops and Surfaces	B2
ITSC	Conference on Inteligent Transportation Systems	B1
ITS_A	International Telecommunications Symposium	B4
IUI	International Conference on Inteligent User Interfaces	A1
IUKM	Integrated Uncertainty in Knowledge Modeling and Decision Making	B5
IV	International Conference on Information Visualization	B1
IVA	International Conference on Inteligent Virtual Agents	B1
IVCNZ	Image and Vision Computing Conference	B4
IV_A	Inteligent Vehicles Conference	B4
